정류소명,X좌표,Y좌표,정류버스수,행정동,행정동_경도,행정동_위도
래미안821동앞,127.0217734923,37.6063491312,"1",길음1동,127.019502782008,37.6103983239234
길음시장앞,127.022710192,37.6032989787,"1",길음1동,127.019502782008,37.6103983239234
대림상가앞,127.0199167441,37.610864269,"1",길음1동,127.019502782008,37.6103983239234
대림APT정문,127.0216692308,37.6111358988,"1",길음1동,127.019502782008,37.6103983239234
파리바게트앞,127.0226541291,37.61139247,"1",길음2동,127.02731160121,37.6066955102538
동부아파트.샘물교회앞,127.0238893314,37.6118308751,"1",길음2동,127.02731160121,37.6066955102538
래미안길음센터피스120동앞,127.0255438133,37.6120014598,"1",길음2동,127.02731160121,37.6066955102538
영훈중.고후문,127.027499396,37.6125265567,"1",길음2동,127.02731160121,37.6066955102538
현대자동차길음지점,127.0279041754,37.6066058367,"1",길음2동,127.02731160121,37.6066955102538
장위중학교,127.0405848691,37.6119173238,"1",월곡1동,127.035775560243,37.6105530868712
월곡청소년센터,127.0404052229,37.6110199223,"1",월곡1동,127.035775560243,37.6105530868712
월곡인조잔디구장,127.0394407938,37.6086600452,"1",월곡1동,127.035775560243,37.6105530868712
월곡1동밤골경로당,127.0403956785,37.6074502135,"1",월곡1동,127.035775560243,37.6105530868712
초림빌라,127.0410308589,37.6074568456,"1",월곡1동,127.035775560243,37.6105530868712
동덕여대후문,127.040829,37.606631,"1",월곡1동,127.035775560243,37.6105530868712
월곡초교,127.046122715,37.6091149077,"1",장위2동,127.054518647758,37.612405557741
태광빌라,127.0439306201,37.6122197761,"1",장위1동,127.043737294008,37.6140462415576
장위1동노인정,127.043044981,37.6116020139,"1",장위1동,127.043737294008,37.6140462415576
하트마트편의점,127.0414159794,37.612020549,"1",장위1동,127.043737294008,37.6140462415576
동덕여대오거리,127.0423605951,37.6043556295,"1",월곡2동,127.047886454934,37.6057915694944
동덕여대정문앞,127.0412407894,37.6058750873,"1",월곡2동,127.047886454934,37.6057915694944
두산아파트3단지,127.038847725,37.6051689886,"1",월곡1동,127.035775560243,37.6105530868712
고려아파트,127.0272380045,37.5985549991,"1",종암동,127.035212918853,37.5990602270364
죽림정사,127.0292557324,37.5995373531,"1",종암동,127.035212918853,37.5990602270364
원진프라자앞,127.0329896615,37.5995460625,"1",종암동,127.035212918853,37.5990602270364
한미약국,127.0343968856,37.5988968173,"1",종암동,127.035212918853,37.5990602270364
종암교통정보센터,127.0359065686,37.5943112702,"1",종암동,127.035212918853,37.5990602270364
세븐마트,127.035660064,37.59252221,"1",종암동,127.035212918853,37.5990602270364
풍림106동,127.0220148498,37.5975731779,"1",돈암1동,127.026386316288,37.6034197210099
힐스테이트,127.0170131404,37.5997824966,"1",정릉1동,127.016655780772,37.6014465243128
쌍용APT,127.0164497318,37.6000578418,"1",정릉1동,127.016655780772,37.6014465243128
종암로한진택배,127.0356957883,37.5924635577,"1",안암동,127.021362226117,37.5858333806287
범양APT입구,127.0271372049,37.6040364347,"1",돈암1동,127.026386316288,37.6034197210099
힐스테이트입구,127.0275831575,37.6061744432,"1",길음2동,127.02731160121,37.6066955102538
성가복지병원앞,127.0312882353,37.6059726603,"1",길음2동,127.02731160121,37.6066955102538
죽림정사앞,127.0291524123,37.599641895,"1",종암동,127.035212918853,37.5990602270364
세계문화유산정릉,127.0096787864,37.6015915007,"1",정릉2동,127.011148093004,37.6044745007088
정릉꿈에그린1단지,127.0108091314,37.6022060325,"1",정릉2동,127.011148093004,37.6044745007088
돈암2동주민센터,127.0109382013,37.5975712004,"1",돈암2동,127.01058094036,37.5980162520587
이수아파트.한신휴아파트입구,127.0140889716,37.5965353967,"1",동선동,127.020422471545,37.5939965377109
정덕초교입구.이수아파트,127.0144182606,37.5968080732,"1",동선동,127.020422471545,37.5939965377109
돈암신일해피트리아파트,127.0109921896,37.597785367,"1",돈암2동,127.01058094036,37.5980162520587
돈암코오롱하늘채.일신휴먼빌,127.0114008934,37.5994414057,"1",정릉2동,127.011148093004,37.6044745007088
중앙하이츠빌아파트,127.0107041533,37.6024566506,"1",정릉2동,127.011148093004,37.6044745007088
