분류,시설명,행정동
간이운동장,자치회관별관,홍은제1동
간이운동장,잠원근린공원,잠원동
간이운동장,잠원체육시설,잠원동
체육관,장군봉체육관,서원동
테니스장,장충테니스장,필동
간이운동장,중계근린공원,중계본동
간이운동장,진관근린공원,진관동
간이운동장,청담근린공원,청담동
간이운동장,청담목련공원,청담동
간이운동장,청룡근린공원,개포1동
체육관,청룡산체육관,보라매동
간이운동장,청수근린공원,청담동
간이운동장,충숙근린공원,하계1동
간이운동장,큰골근린공원,대치1동
간이운동장,탄천근린공원,일원본동
간이운동장,탑골생태공원,시흥제1동
간이운동장,포이근린공원,개포1동
간이운동장,학동근린공원,논현1동
간이운동장,학봉근린공원,삼성1동
간이운동장,한서마을마당,아현동
간이운동장,한솔근린공원,개포2동
간이운동장,한티근린공원,대치1동
간이운동장,해맞이약수터,청운효자동
간이운동장,홍씨마을공원,내곡동
간이운동장,화곡푸르지오,화곡제1동
간이운동장,효창근린공원,효창동
간이운동장,효창근린공원,효창동
간이운동장,효창근린공원,효창동
간이운동장,효창근린공원,효창동
간이운동장,효창근린공원,효창동
간이운동장,휴암문화공원,상암동
간이운동장,서교마을마당,서교동
간이운동장,성산마을마당,성산제1동
간이운동장,구현대아파트 뒤,시흥제1동
간이운동장,염리치안센터 옆 쉼터,아현동
간이운동장,경남아너스빌 쉼터,대흥동
기타시설,노들나루공원 족구장,노량진제1동
간이운동장,양재시민의숲 테니스장,양재1동
간이운동장,한강시민공원 반포지구,반포본동
간이운동장,한강시민공원 잠원지구,잠원동
기타시설,노들나루공원 자전거연습장,노량진제1동
간이운동장,수서택지개발(광평부근),일원본동
간이운동장,수서택지개발(대모산부근),개포2동
체육관,가양레포츠센터,염창동
기타시설,가좌다목적구장,홍은제1동
간이운동장,갈매기근린공원,신사동
간이운동장,강변힐스테이트,염창동
축구장,강북구민운동장,번1동
간이운동장,개운산근린공원,안암동
간이운동장,개포동근린공원,개포1동
간이운동장,개포서근린공원,개포1동
간이운동장,고덕게이트볼장,고덕제1동
간이운동장,고인돌근린공원,양재1동
간이운동장,관음삼성아파트,염창동
체육관,구민생활체육관,구로제1동
간이운동장,구의어린이공원,구의제1동
간이운동장,금성윗들소공원,방학제1동
간이운동장,금성윗들소공원,방학제1동
간이운동장,길마어린이공원,갈현제1동
간이운동장,김일기념체육관,종로1·2·3·4가동
골프연습장,까치산체육센터,보라매동
간이운동장,낙산배드민턴장,창신제1동
간이운동장,내곡동주민센터,내곡동
테니스장,내곡동체육시설,내곡동
간이운동장,내곡동체육시설,내곡동
간이운동장,녹번동근린공원,녹번동
간이운동장,녹번서근린공원,녹번동
간이운동장,논현개나리공원,논현1동
간이운동장,논현무궁화공원,혜화동
간이운동장,논현소나무공원,논현1동
간이운동장,늘푸른근린공원,개포2동
간이운동장,다솜어린이공원,성산제1동
간이운동장,당인동문화공원,서강동
간이운동장,대조어린이공원,대조동
간이운동장,대창어린이공원,창제1동
간이운동장,대흥어린이공원,용강동
간이운동장,독산동마을공원,독산제1동
간이운동장,동교어린이공원,서교동
체육관,동대문구체육관,답십리제1동
간이운동장,동덕어린이공원,서초3동
간이운동장,동자어린이공원,자양제1동
간이운동장,두리어린이공원,망원제1동
간이운동장,뒤뜰어린이공원,성산제1동
간이운동장,래미안퍼스티지,반포본동
간이운동장,롯데캐슬클래식,서초1동
체육관,마곡레포츠센터,가양제1동
간이운동장,마포어린이공원,도화동
간이운동장,망우저류조공원,망우본동
간이운동장,매봉산근린공원,상암동
간이운동장,모랫어린이공원,창제1동
간이운동장,모아래마을마당,가산동
빙상장,목동실내빙상장,목1동
간이운동장,무수어린이공원,도봉제1동
간이운동장,물치어린이공원,상암동
간이운동장,미화어린이공원,창제1동
간이운동장,반디어린이공원,상계1동
간이운동장,반석어린이공원,창제1동
간이운동장,반포종합운동장,반포본동
간이운동장,반포천운동시설,반포본동
간이운동장,반포힐스테이트,반포본동
간이운동장,밤골어린이공원,창제1동
간이운동장,방배래미안타워,서초3동
간이운동장,방배브라운스톤,서초3동
간이운동장,방배아크로리버,서초3동
간이운동장,방배아크로타워,서초3동
간이운동장,방학어린이공원,방학제1동
간이운동장,방화신안네트빌,공항동
간이운동장,백합어린이공원,중계본동
간이운동장,부엉이근린공원,상암동
간이운동장,사슴어린이공원,방학제1동
간이운동장,산장어린이공원,시흥제1동
간이운동장,산정배드민턴장,시흥제1동
간이운동장,삼성배드민턴장,시흥제1동
간이운동장,삼정배드민턴장,시흥제1동
간이운동장,삿갓봉근린공원,중계본동
간이운동장,상수나루소공원,서강동
간이운동장,새록어린이공원,녹번동
간이운동장,새싹어린이공원,혜화동
간이운동장,샘터어린이공원,성산제2동
간이운동장,샛별어린이공원,쌍문제1동
간이운동장,서교어린이공원,서교동
간이운동장,서래골근린공원,반포본동
간이운동장,서리풀근린공원,서초1동
간이운동장,서초트라펠리스,서초1동
간이운동장,성메어린이공원,성산제1동
간이운동장,소망어린이공원,방학제1동
간이운동장,송록어린이공원,시흥제1동
간이운동장,신록어린이공원,녹번동
간이운동장,신사개나리공원,신사제1동
간이운동장,신사무궁화공원,신사제1동
간이운동장,신원동체육시설,내곡동
간이운동장,신창어린이공원,창제1동
간이운동장,신흥어린이공원,신사제1동
간이운동장,쌍룡산근린공원,아현동
간이운동장,아래반고개공원,세곡동
간이운동장,아현초록소공원,아현동
간이운동장,압구정목련공원,신사동
간이운동장,양재우성아파트,양재1동
간이운동장,양재천근린공원,양재1동
간이운동장,양화어린이공원,합정동
간이운동장,양화진역사공원,합정동
간이운동장,역말어린이공원,역촌동
간이운동장,역삼개나리공원,역삼1동
간이운동장,역삼무궁화공원,역삼1동
간이운동장,연서어린이공원,역촌동
간이운동장,염창힐스테이트,염창동
골프연습장,오동골프연습장,번1동
간이운동장,온곡어린이공원,상계1동
간이운동장,와우어린이공원,서강동
간이운동장,용강나루소공원,용강동
간이운동장,우장산롯데캐슬,화곡제1동
간이운동장,유만어린이공원,창제1동
간이운동장,유호배드민턴장,시흥제1동
축구장,은평구립축구장,진관동
기타시설,은평인공암벽장,진관동
간이운동장,응암어린이공원,응암제1동
간이운동장,이화어린이공원,중계본동
간이운동장,자양어린이공원,자양제1동
육상경기장,잠실보조경기장,잠실본동
체육관,잠실실내체육관,잠실본동
간이운동장,잠원동주민센터,잠원동
체육관,잠원스포츠파크,잠원동
간이운동장,잠원스포프파크,잠원동
간이운동장,잣나무산림욕장,시흥제1동
간이운동장,좌월어린이공원,갈현제1동
간이운동장,중동어린이공원,성산제2동
체육관,중랑문화체육관,면목제2동
간이운동장,중앙배드미턴장,사직동
간이운동장,중앙화곡하이츠,화곡제1동
간이운동장,창골어린이공원,창제1동
간이운동장,창원어린이공원,창제1동
간이운동장,창전동마을마당,서강동
간이운동장,창전어린이공원,서강동
간이운동장,천보어린이공원,중계본동
간이운동장,초안산근린공원,월계1동
간이운동장,초안산근린공원,창제1동
간이운동장,초안산근린공원,월계1동
간이운동장,초안산근린공원,창제1동
간이운동장,초안산근린공원,창제1동
간이운동장,초안산근린공원,창제1동
간이운동장,초안산근린공원,창제1동
간이운동장,초안산근린공원,창제1동
간이운동장,큰길어린이공원,성산제1동
간이운동장,풍납배드민턴장,풍납1동
간이운동장,학여울근린공원,개포1동
간이운동장,합정어린이공원,서교동
체육관,항동생활체육관,항동
간이운동장,해태어린이공원,도봉제1동
간이운동장,현석어린이공원,신수동
전천후게이트볼장,홍제게이트볼장,홍제제1동
기타시설,홍제배드민턴장,홍제제1동
간이운동장,효봉어린이공원,시흥제1동
간이운동장,효성어린이공원,공릉1동
간이운동장,효자어린이공원,창제1동
간이운동장,휴암어린이공원,상암동
간이운동장,흑석동주민센터,흑석동
간이운동장,흥산배드민턴장,시흥제1동
간이운동장,현석동마을마당,신수동
축구장,다락원체육공원 축구장,도봉제1동
테니스장,노량진근린공원 테니스장,대방동
테니스장,다락원체육공원 테니스장,도봉제1동
전천후게이트볼장,다락원체육공원 게이트볼장,도봉제1동
테니스장,다락원체육공원 실내체육관(테니스장),도봉제1동
체육관,다락원체육공원 실내체육관(배드민턴장),도봉제1동
기타시설,노량진근린공원(대방)게이트볼장,대방동
기타시설,노량진근린공원(고구동산)농구장,흑석동
기타시설,노량진근린공원(고구동산)족구장,흑석동
기타시설,노량진근린공원(고구동산)게이트볼장,흑석동
간이운동장,갈곡리어린이공원,갈현제1동
간이운동장,갈대밭어린이공원,도봉제1동
간이운동장,개나리어린이공원,성산제2동
체육관,개웅산생활체육관,개봉제1동
골프연습장,광진구민체육센터,광장동
골프연습장,광진문화예술회관,자양제1동
체육관,구로구민체육센터,고척제1동
기타시설,노원구민체육센터,중계본동
간이운동장,다람쥐어린이공원,창제1동
간이운동장,대치은행나무공원,대치1동
간이운동장,도구머리근린공원,서초3동
간이운동장,도화소어린이공원,공덕동
간이운동장,독산동다목적광장,독산제1동
간이운동장,둥근달어린이공원,쌍문제1동
간이운동장,물방울어린이공원,창제1동
간이운동장,민들레어린이공원,상계1동
간이운동장,반포본동주민센터,반포본동
간이운동장,방배래미안아트힐,서초3동
축구장,방배배수지축구장,서초3동
간이운동장,방배본동주민센터,서초3동
간이운동장,방화동부센트레빌,공항동
간이운동장,별장길어린이공원,시흥제1동
간이운동장,복사꽃어린이공원,공덕동
간이운동장,봉산도시자연공원,구산동
간이운동장,새나라어린이공원,공릉1동
간이운동장,새누리어린이공원,상암동
간이운동장,새동네어린이공원,도봉제1동
간이운동장,새락골어린이공원,신사제1동
간이운동장,새장골어린이공원,불광제1동
간이운동장,생잇들어린이공원,방학제1동
간이운동장,서강나루문화공원,서강동
간이운동장,서일문화체육센터,서초1동
간이운동장,서초구민체육센터,반포본동
간이운동장,성황당어린이공원,성산제1동
축구장,송파구여성축구장,방이1동
간이운동장,수서은행나무공원,일원본동
테니스장,시민의숲테니스장,양재1동
체육관,신도림생활체육관,신도림동
간이운동장,신동문화체육센터,잠원동
간이운동장,신사은행나무공원,신사제1동
간이운동장,싸리고개근린공원,도곡1동
간이운동장,싸리고개마을마당,도곡1동
간이운동장,쌍둥이어린이공원,성산제1동
간이운동장,아래방죽마을공원,세곡동
간이운동장,어린이야구연습장,구로제1동
간이운동장,언남문화체육센터,양재1동
간이운동장,역삼은행나무공원,역삼1동
간이운동장,염창월드메르디앙,염창동
간이운동장,염창한화꿈에그린,염창동
간이운동장,옹달샘어린이공원,망원제1동
간이운동장,외주목어린이공원,성산제1동
간이운동장,외천주민운동시설,종로1·2·3·4가동
체육관,용산문화체육센터,원효로제1동
체육관,용산청소년수련관,이촌제1동
간이운동장,우장산힐스테이트,발산제1동
체육관,은평다목적체육관,진관동
간이운동장,은하수어린이공원,월계1동
체육관,이문체육문화센터,이문제1동
간이운동장,인라인스케이트장,신도림동
간이운동장,잔다리어린이공원,서교동
축구장,잠실어울림축구장,잠실본동
체육관,중곡문화체육센터,중곡제1동
간이운동장,중동소어린이공원,성산제2동
간이운동장,증산생활체육광장,증산동
간이운동장,진관생활체육광장,진관동
간이운동장,참다래어린이공원,응암제1동
테니스장,창동시립테니스장,창제1동
간이운동장,채송화어린이공원,상계1동
간이운동장,청담은행나무공원,청담동
간이운동장,포수동어린이공원,응암제1동
간이운동장,한마음어린이공원,망원제1동
체육관,강북웰빙스포츠센터,번1동
축구장,고척근린공원운동장,고척제1동
전천후게이트볼장,구로실내게이트볼장,구로제1동
간이운동장,느티나무어린이공원,시흥제1동
간이운동장,느티나무어린이공원,연남동
체육관,동대문구민체육센타,장안제1동
테니스장,뚝섬서울숲테니스장,성수1가제1동
체육관,마곡실내배드민턴장,가양제1동
축구장,마들근린공원축구장,상계1동
간이운동장,망원유수지체육시설,망원제1동
간이운동장,반포운동장체육센터,반포본동
간이운동장,방배배수지체육공원,서초3동
테니스장,보라매공원테니스장,신대방제1동
간이운동장,부엉바위어린이공원,상암동
간이운동장,북악산도시자연공원,성북동
간이운동장,북한산도시자연공원,녹번동
간이운동장,북한산도시자연공원,정릉제1동
수영장,사당문화회관수영장,사당제1동
간이운동장,삼성서초가든스위트,서초1동
