,주차장id,주차장이름,주소,경도,위도
595,553692372,한남동작은도서관,서울 용산구 한남동 685-46,127.000194604824,37.5349253851817
596,732425901,지진옥외대피장소 한남동공영주차장,서울 용산구 한남동 685-20,127.0004254135996,37.534644272324314
597,941949460,지진실내구호소 한남동공영주차장건물내 교육장 등,서울 용산구 한남동 685-46,127.000267015677,37.5348569089802
598,295301493,용산구평생학습관,서울 용산구 한남동 685-46,127.000267015677,37.5348569089802
601,24066517,홍익동 공영주차장,서울 성동구 홍익동 252,127.033861539814,37.5656085361619
602,332617554,05-05구간 공영주차장,서울 성동구 행당동 4-23,127.039332291229,37.5597972150235
605,20562889,응봉동공영주차장,서울 성동구 행당동 341-59,127.030804929958,37.5533630221309
607,20576850,마장축산물시장서문 공영주차장,서울 성동구 마장동 522-1,127.03831004887,37.5704040774208
609,20590556,응봉역 공영주차장,서울 성동구 응봉동 3-11,127.034628840008,37.5506769881599
611,20515885,마장동공영주차장,서울 성동구 마장동 463-2,127.03511996704283,37.569937452936315
615,883880325,마장동대형버스 노상공영주차장,서울 성동구 마장동 525,127.039501517523,37.5716290382518
616,156282807,마장동주민센터앞 공영주차장,서울 성동구 마장동 810,127.045368627577,37.566139866614
617,330264978,마장동 공영주차장 전기차충전소,서울 성동구 마장동 463-25,127.035185692771,37.5700915035744
619,1298588732,마장축산물시장 북문 노상공영주차장,서울 성동구 마장동 804,127.042109069043,37.5706938049612
620,20514389,노상공영주차장,서울 성동구 마장동 818,127.042281020093,37.5705036335026
621,25612945,마장축산물시장 공영주차장 (2021년9월예정),서울 성동구 마장동 525,127.04007989557816,37.5715117139424
622,1763254067,마장축산물시장 남문공영주차장,서울 성동구 마장동 805,127.04067697203699,37.56831387714413
623,20576842,한전변전소뒤 노상공영주차장,서울 성동구 마장동 294,127.03830411928365,37.56766685497258
624,21133482,마장현대아파트공영주차장,서울 성동구 마장동 804,127.04316489968447,37.57018796528363
625,628476326,노상공영주차장,서울 성동구 마장동 805,127.039827568409,37.5674546168651
626,10486810,서울시설공단 수서노외남측공영주차장,서울 성동구 마장동 527-6,127.03570140875443,37.571508614273675
627,51411800,마장축산물시장 서문 공영주차장 전기차충전소,서울 성동구 마장동 522-1,127.03829649857,37.5704689534788
628,12184745,성동구도시관리공단 주차장,서울 성동구 마장동 527-10,127.03691045998617,37.571711867347744
629,20517861,성동구공영주차장,서울 성동구 사근동 282-2,127.047258164737,37.5649876524679
630,714319715,사근동무인공영주차장,서울 성동구 사근동 190-2,127.048577052577,37.5601433601386
631,183069213,살곶이 공영주차장,서울 성동구 사근동 102-28,127.047618105865,37.5543233082865
632,791971926,응봉동체육공원앞 공영 주차장,서울 성동구 행당동 92-6,127.039483028787,37.5537568782332
640,1846744941,응봉동평면 공영주차장,서울 성동구 응봉동 210-3,127.033205738238,37.5493168892954
666,718415813,응봉동 공영주차장 전기차충전소,서울 성동구 행당동 341-58,127.030718953157,37.5534423323477
698,16589586,성수1가1동 공영주차장,서울 성동구 성수동1가 656-260,127.04636882784,37.5399294480078
699,329929686,성수1가1동 공영주차장 전기차충전소,서울 성동구 성수동1가 656-260,127.04636882784,37.5399294480078
700,1620344859,그린존 성수1가1동 공영주차장,서울 성동구 성수동1가 656-260,127.04636882784,37.5399294480078
701,2083263813,성수1가2동 공영주차장,서울 성동구 성수동1가 13-219,127.049895605489,37.5499597352074
702,8448486,성수2가1동공영주차장,서울 성동구 성수동2가 571-1,127.0561745913524,37.53717173420735
703,34159473,성수2가1동 공영주차장 전기차충전소,서울 성동구 성수동2가 571-1,127.05618812015884,37.53710685574715
704,23887983,성수2가3동 공영주차장,서울 성동구 성수동2가 299-19,127.055178664839,37.5491230600378
705,1869470080,성수역3번출구앞 노상공영주차장,서울 성동구 성수동2가 276-5,127.05700233411247,37.54396757909408
706,27039636,KT성수분국 노상공영주차장,서울 성동구 성수동2가 280-50,127.06198130522782,37.54683114862588
707,851554955,성수2가공영주차장 전기차충전소,서울 성동구 성수동2가 299-19,127.055178664839,37.5491230600378
708,333668232,성동안심상가 공영주차장 전기차충전소,서울 성동구 성수동2가 284-22,127.053348162996,37.5482201996696
709,2076722457,뚝섬성수주차장,서울 성동구 성수동2가 302-11,127.052119563775,37.5438391902695
710,27097316,그린존 성수2가3동 공영주차장,서울 성동구 성수동2가 299-19,127.055178670152,37.5491302680233
711,7970747,송정동 공영주차장,서울 성동구 송정동 68-57,127.068084626457,37.5499632622372
712,1798150650,송정동공영주차장,서울 성동구 송정동 72-242,127.06856629976438,37.55322189352959
713,1061674709,송정동 공영주차장 전기차충전소,서울 성동구 송정동 68-57,127.068071046659,37.5499632700666
714,26535472,송정동거주자전용주차장,서울 성동구 송정동 72-240,127.06843388025656,37.55321025737992
715,20519718,용답동 공영노외주차장,서울 성동구 용답동 4-1,127.05430152408012,37.5645521449066
716,1422815320,용답동공영주차장 전기차충전소,서울 성동구 용답동 4-1,127.054298110811,37.5645278195804
717,367470950,용답제2공영주차장,서울 성동구 용답동 182-10,127.056148776281,37.5630952708906
718,908726657,용답어울림공영주차장,서울 성동구 용답동 53-5,127.051286771419,37.5637065565654
