자치구,행정동,사업장명,경도,위도
마포구,창전동,신촌금호(아) 경로당,126.9321788,37.55276408
성동구,응봉동,상봉경로당,127.0303229,37.55279714
강서구,염창동,아리수 경로당,126.872795,37.55279802
강서구,내발산동,마곡수명산파크 3단지(아) 경로당,126.8249122,37.55281925
마포구,망원동,서림경로당,126.9013776,37.55282048
강서구,염창동,염창현대1차(아)경로당,126.8751041,37.55285247
성동구,응봉동,대림2차아파트경로당,127.0325197,37.55289404
광진구,군자동,양마경로당,127.0703085,37.55289489
성동구,송정동,송정동아이파크경로당,127.0692071,37.55290806
강서구,염창동,염창극동아파트경로당,126.8712308,37.55294805
성동구,금호동2가,금호자이1차 경로당,127.0204068,37.55299407
성동구,금호동2가,금호하이리버(아)경로당,127.0204068,37.55299407
성동구,금호동2가,하이리버 2차(아) 경로당,127.0204068,37.55299407
성동구,금호동2가,신금호파크자이(아) 경로당,127.0204068,37.55299407
성동구,금호동2가,신그호파크자이(아) 경로당,127.0204068,37.55299407
성동구,응봉동,리버그린동아아파트경로당,127.0372523,37.553066
마포구,염리동,염리동제2경로당,126.9473272,37.55309337
마포구,합정동,희우경로당,126.9090721,37.55315814
성동구,응봉동,광희경로당,127.0334168,37.55316049
마포구,염리동,화신경로당,126.9462951,37.55322058
중구,신당동,약수경로당,127.0102116,37.55324118
강서구,염창동,강변코아루아파트 경로당,126.8734562,37.5532977
성동구,행당동,응봉경로당,127.0313644,37.55336179
마포구,창전동,신촌태영데시앙@경로당,126.9309785,37.55336957
강서구,염창동,태영송화(아),126.8672115,37.5533777
강서구,염창동,태영송화(아)경로당,126.8672115,37.5533777
성동구,응봉동,대림강변타운경로당,127.0357411,37.55342993
마포구,망원동,송백경로당,126.9048549,37.55343358
강동구,암사동,암사1동제2경로당,127.1359417,37.55355386
성동구,금호동2가,금북경로당,127.0200781,37.55355824
광진구,능동,능동경로당,127.0791824,37.55363043
강동구,명일동,명일삼환아파트경로당,127.1538194,37.55369716
강서구,염창동,강서쌍용예가아파트경로당,126.8709853,37.55373624
강서구,염창동,강변월드메르디앙경로당,126.8709853,37.55373624
마포구,서교동,서교푸르지오(아)경로당,126.9236944,37.55379369
마포구,노고산동,노고산경로당,126.9392454,37.55385993
용산구,서계동,서계,126.9666935,37.55389528
성동구,송정동,송정동경로당,127.0680169,37.55394346
강서구,염창동,염창한강동아아파트경로당,126.8742098,37.5539729
강서구,화곡동,화곡2차보람(아)경로당,126.8546353,37.55403899
중구,만리동2가,만리경로당,126.9634839,37.55408138
강동구,암사동,동원베네스트아파트 경로당,127.1311186,37.55410577
강서구,내발산동,내발산 경로당,126.8400953,37.55419256
마포구,염리동,염산은빛경로당,126.9488902,37.55427094
마포구,염리동,염산경로당,126.9497321,37.5542768
강서구,등촌동,한사랑2차삼성아파트 경로당,126.8642015,37.55431672
강서구,등촌동,코오롱3차(아)경로당,126.8606863,37.55432623
성동구,금호동1가,금호벽산아파트 제2경로당,127.0258391,37.55434567
성동구,행당동,신동아아파트경로당,127.0328369,37.55437105
강서구,내발산동,마곡수명산파크 1단지(아),126.8332664,37.55437376
강서구,내발산동,마곡수명산파크 7단지(아) 경로당,126.8332664,37.55437376
강서구,내발산동,마곡수명산파크 1단지(아)경로당,126.830206,37.55437805
광진구,군자동,군자경로당,127.0728712,37.55437962
중구,신당동,충현경로당,127.0057231,37.5544572
마포구,아현동,공덕자이제2경로당,126.9559037,37.55448325
마포구,아현동,공덕자이경로당,126.9559037,37.55448325
마포구,아현동,아현1경로당,126.9559037,37.55448325
마포구,아현동,마포래미안푸르지오3단지@경로당,126.9559037,37.55448325
