,사업장명,위도,경도,ADDRESS
268,방배서리풀이편한세상실버클럽 경로당,37.48341301,126.994487,방배동
269,신도브래뉴(아)경로당,37.48341516,126.9106969,신림동
270,월드경로당,37.48344864,126.9589747,봉천동
271,신팔경로당,37.48349068,126.90777539999999,신림동
272,서초구립방배2동제1경로당,37.48351466,126.99038859999999,방배동
273,성우아파트경로당,37.48365584,126.93734429999999,신림동
274,연화,37.48370283,127.1249986,문정동
275,개포경로당,37.48382233,127.0611443,개포동
276,서초구립말죽거리경로당,37.48383617,127.04048970000001,양재동
277,경남아너스빌(대아A),37.48393267,126.97313570000001,사당동
278,대림A,37.48393267,126.97313570000001,사당동
279,삼일공원,37.48393267,126.97313570000001,사당동
280,삼화,37.48393267,126.97313570000001,사당동
281,학수경로당,37.48393267,126.97313570000001,사당동
282,우성3차(아)경로당,37.48397327,127.0560139,개포동
283,일원경로당,37.48409112,127.0779416,일원동
284,조원(아)경로당,37.48418147,126.9075361,신림동
285,강남(아)경로당,37.48422993,126.90390740000001,신림동
286,수목원현대홈타운(아)경로당,37.48426665,126.82009120000001,항동
287,샘터마을(아)경로당,37.48427545,127.08261270000001,일원동
288,장수경로당,37.48444972,126.94958999999999,봉천동
289,봉천두산(아)1단지경로당,37.48452677,126.9428946,봉천동
290,봉천6동우성(아)109110동경로당,37.48465755,126.9611938,봉천동
291,한진(아)경로당,37.48467954,126.85193980000001,개봉동
292,우성9차(아)경로당,37.48482962,127.05725120000001,개포동
293,목련타운(아)경로당,37.48485119,127.08527690000001,일원동
294,서초자이(아)경로당,37.48493195,127.0202672,서초동
295,궁마을경로당,37.48496278,127.09929709999999,수서동
296,봉천우성아파트경로당,37.48497811,126.95952759999999,봉천동
297,노인여가시설(잔버들경로당),37.48518307,127.1288807,문정동
298,수서8단지(아)경로당,37.48532206,127.0965128,수서동
299,두산아파트3단지경로당,37.48534209,126.94594040000001,봉천동
300,봉천두산(아)임대3단지경로당,37.48534209,126.94594040000001,봉천동
301,개포우성4차(아)경로당,37.48544267,127.0494736,도곡동
302,서초구립서초1동 경로당,37.48558799,127.0226606,서초동
303,봉천본동경로당,37.48578007,126.9408557,봉천동
304,그린빌라경로당,37.48587128,126.82231259999999,항동
305,그린빌라경로당,37.48587128,126.82231259999999,항동
306,현진에버빌아파트경로당,37.48594832,126.90703400000001,신대방동
307,신림4동경로당,37.48596378,126.9191072,신림동
308,삼호그린아파트 경로당,37.48604783,126.9653195,사당동
309,두산위브(아),37.4860999,126.8903678,구로동
310,봉천두산(아)2단지경로당,37.48613653,126.9452116,봉천동
311,서초3동서초2차e편한세상경로당,37.4862635,127.00897520000001,서초동
312,중앙경로당,37.48632547,126.9507335,봉천동
313,개포4단지(아)경로당,37.48633093,127.0731689,개포동
314,사당5동,37.48636698,126.96758759999999,사당동
315,현대로얄(아)경로당,37.48636792,126.8773251,구로동
316,도곡1동경로당,37.48637606,127.03562040000001,도곡동
317,유성열,37.48638626,126.88251670000001,가리봉동
318,골말경로당,37.48638626,126.88251670000001,가리봉동
319,그린빌라경로당,37.48638974,126.82413600000001,항동
320,신림5동경로당,37.48645748,126.932675,신림동
321,구로한일유엔아이(아)경로당,37.48647373,126.876053,구로동
322,서초트라팰리스(아) 경로당,37.48682257,127.0283822,서초동
323,문정대우1차(아)경로당,37.48687808,127.1281054,문정동
324,신대방1동경로당,37.48687924,126.9106601,신대방동
325,개포한신(아)경로당,37.48688993,127.04889709999999,도곡동
326,구로4동구경로당,37.486975799999996,126.88621,구로동
327,수서7단지(아)경로당,37.48707257,127.0984429,수서동
328,남해오네뜨아파트경로당,37.48707927,126.9655332,사당동
329,개봉3동경로당,37.48708629,126.8554085,개봉동
330,문정3차대우아파트 경로당,37.48711699,127.13327240000001,문정동
331,사립 관악동부센트레빌(아)경로당,37.48720487,126.95099109999998,봉천동
332,구로3동 경로당,37.48721456,126.89009490000001,구로동
333,관악푸르지오아파트 경로당,37.48731127,126.9608649,봉천동
334,수서6단지(아)경로당,37.48731259,127.10514599999999,수서동
335,동삼빌라 경로당,37.48736601,126.82427340000002,항동
336,구립수목원경로당,37.48736601,126.82427340000002,항동
337,신대림한솔 솔파크경로당,37.48738731,126.8994328,대림동
338,휴먼시아 제1경로당,37.48741277,126.9271237,신림동
339,서초캐슬리버티(아)경로당,37.48744322,127.01694479999999,서초동
340,국사봉경로당,37.48750574,126.9437482,봉천동
341,국지경로당,37.48750574,126.9437482,봉천동
342,구립방배1동제1경로당,37.48755334,126.99470179999999,방배동
343,개포5단지(아)경로당,37.48762289,127.06850359999999,개포동
344,장수촌경로당,37.48764894,126.9217937,신림동
345,봉천5동 구립경로당,37.48768028,126.9481186,봉천동
346,구로(아)경로당,37.48773259,126.89189920000001,구로동
347,삼성래미안(아) 경로당,37.48773259,126.89189920000001,구로동
348,오리골경로당,37.48782057,126.83736540000001,오류동
349,서초구립 서초2동경로당,37.48795126,127.03090359999999,서초동
350,도곡쌍용예가아파트경로당,37.48797997,127.0381156,도곡동
351,봉천2동,37.48800771,126.95423600000001,봉천동
352,우민늘푸른(아) 경로당,37.48801968,126.8939249,구로동
353,장수경로당,37.488026500000004,126.8841087,구로동
354,서초한빛삼성(아)경로당,37.48810425,127.0079242,서초동
355,구로4동 복지관 경로당,37.48810574,126.8876068,구로동
356,현대A,37.48812576,126.97039699999999,사당동
357,역삼우성(아),37.48819824,127.03711509999998,도곡동
358,금강수목원아파트경로당,37.48827862,126.8323818,오류동
359,개포9단지(아)경로당,37.48837321,127.0762197,일원동
360,봉천벽산블루밍3차(아)경로당,37.48842248,126.94443390000002,봉천동
361,방배1차현대(아)경로당,37.48843913,126.983901,방배동
362,영서(아)경로당,37.48845818,126.896025,구로동
363,봉천일동 경로당,37.48849653,126.9340679,봉천동
364,보라매경로당,37.48849653,126.9340679,봉천동
365,한신휴플러스(아),37.48850933,126.89080120000001,구로동
366,훼밀리제2경로당,37.48851993,127.1143773,문정동
367,훼밀리 제1아파트,37.48851993,127.1143773,문정동
368,두산임대(아)경로당,37.48857632,126.88891480000001,구로동
369,문정,37.48862702,127.1255018,문정동
370,거여6단지아파트,37.48862773,127.146638,거여동
371,독구리경로당,37.48862964,127.04632450000001,도곡동
372,사당자이아파트,37.4886969,126.9624446,사당동
373,사당케이씨씨아파트경로당,37.4886969,126.9624446,사당동
374,문정골,37.48871805,127.1247091,문정동
375,이화경로당,37.488783000000005,127.0623568,개포동
376,구립제3경로당,37.48878437,126.9011959,대림동
377,만수경로당,37.48883716,126.95833020000002,봉천동
378,거여5단지아파트,37.48884238,127.1453004,거여동
379,개포6단지경로당,37.48887629,127.07166770000002,개포동
380,개포7단지(아)경로당,37.48887629,127.07166770000002,개포동
381,강남데시앙포레(아)경로당,37.48888786,127.10500400000001,수서동
382,수서삼성(아)경로당,37.48888786,127.10500400000001,수서동
383,화랑빌라경로당,37.48889251,126.8255602,오류동
384,신림우방(아)경로당,37.48893563,126.9187983,신림동
385,오류동대우푸르지오경로당,37.48894613,126.8354925,오류동
386,무지개(아)경로당,37.4890875,127.0261777,서초동
387,동작삼성래미안,37.48909923,126.97047420000001,사당동
388,거성(아)경로당,37.48910875,126.85103899999999,개봉동
389,수서4단지(아)경로당,37.48916125,127.1009459,수서동
390,현대타운 경로당,37.48920377,126.8417263,오류동
391,관악벽산블루밍(아)1단지경로당,37.48928787,126.944767,봉천동
392,벽산블루밍(아)3단지경로당,37.48928787,126.944767,봉천동
393,관악벽산블루밍(아)2단지경로당,37.48928787,126.944767,봉천동
394,거여4단지아파트,37.48932215,127.14384380000001,거여동
395,인헌경로당,37.48943779,126.9594111,봉천동
396,한아름(아)경로당,37.48947009,127.10357590000001,수서동
397,경남아파트,37.48948761,126.90859340000002,신대방동
398,봉천동아(아) 2단지 경로당,37.4895921,126.95555459999999,봉천동
399,관악푸르지오삼오경로당,37.48961920000001,126.96031470000001,봉천동
400,배나무골,37.48968804,126.98045459999999,사당동
401,성원빌라경로당,37.48975125,126.8234919,온수동
402,문화칸타빌레아파트경로당,37.48976496,126.89710890000002,대림동
403,관악드림타운경로당,37.48976791,126.95061979999998,봉천동
404,이화우성(아) 경로당,37.489835799999994,126.8938801,구로동
405,101경로당,37.48991257,126.94780390000001,봉천동
406,거여3단지아파트경로당,37.48993226,127.14767649999999,거여동
407,거여3단지아파트경로당,37.48993226,127.14767649999999,거여동
408,개봉동아이파크경로당,37.49006065,126.8597862,개봉동
409,서초교대e편한세상(아) 경로당,37.4900862,127.0195348,서초동
410,중앙경로당,37.49008936,126.85301399999999,개봉동
411,방배롯데캐슬로제경로당,37.4901805,126.99480159999999,방배동
412,방배2차현대홈타운(아)경로당,37.490182399999995,126.9839028,방배동
413,사당롯데캐슬2차 경로당,37.490193299999994,126.97147949999999,사당동
414,우성1차(아)경로당,37.49020224,127.0284321,서초동
415,동아효성아파트,37.49024889,127.14622220000001,거여동
416,구일우성(아)경로당,37.49028427,126.87691550000001,구로동
417,서초구립방배4동경로당,37.49042622,126.98687199999999,방배동
418,동진빌라경로당,37.49045472,126.82473540000001,온수동
419,경남아너스빌경로당,37.49047798,126.83979040000001,오류동
420,문정 주공아파트,37.49062162,127.13029350000001,문정동
421,삼익,37.49077731,126.9725121,사당동
422,대흥빌라,37.49091409,126.8220477,온수동
423,역삼럭키(아)경로당,37.49095372,127.038482,도곡동
424,대림아크로빌아파트경로당,37.49095372,127.038482,도곡동
425,렉슬경로당,37.49095372,127.038482,도곡동
426,타워팰리스2차아파트경로당,37.49095372,127.038482,도곡동
427,삼성래미안아파트경로당,37.49095372,127.038482,도곡동
428,거여1단지아파트,37.49097459,127.14458619999999,거여동
429,서초현대아파트경로당,37.49098863,127.02016599999999,서초동
430,역말경로당,37.49098942,127.0372889,도곡동
431,신동아5단지A,37.49102296,126.97686670000002,사당동
432,극동(아)경로당,37.49107021,126.88977369999999,구로동
433,한우리경로당,37.49108055,126.88039509999999,구로동
434,우성(아)경로당,37.49112537,127.05989579999999,대치동
435,수서3단지(아)경로당,37.49113268,127.10017759999998,수서동
436,역말경로당,37.49123477,127.0378477,도곡동
437,구로2동경로당,37.49143506,126.88554909999999,구로동
438,구로리경로당,37.49145723,126.88923590000002,구로동
439,방배3차현대홈타운(아)경로당,37.49148154,126.9837227,방배동
440,방배3차현대홈타운(아)경로당,37.49148154,126.9837227,방배동
441,영풍마드레빌경로당,37.49153798,126.83864070000001,오류동
442,오류2동 경로당,37.4915665,126.84281599999998,오류동
443,현대아파트,37.49156805,127.12814340000001,문정동
444,개봉현대홈타운2단지경로당,37.49161678,126.86162420000001,개봉동
445,관악드림타운2단지(아)경로당,37.49165122,126.94815600000001,봉천동
446,숲속마을신동아파밀리에아파트 경로당,37.49174638,126.9145389,신대방동
447,건너말 경로당,37.49180057,127.1239477,가락동
448,원풍(아)경로당,37.49182983,126.85645690000001,개봉동
449,프라자아파트,37.49199211,127.1335524,가락동
450,럭키(아) 경로당,37.49201137,126.89407040000002,구로동
451,현대(아)경로당,37.49207737,126.85849640000002,개봉동
452,현대(아)서부경로당,37.49207737,126.85849640000002,개봉동
453,현대(아)중부경로당,37.49207737,126.85849640000002,개봉동
454,선경(아)경로당,37.49212653,127.06256509999999,대치동
455,신동아(아) 경로당(서초2동),37.49214924,127.0239031,서초동
456,어울림(아)경로당,37.49220238,127.14333470000001,거여동
457,궁동경로당,37.49225721,126.82120990000001,온수동
458,거여 새마을,37.492264399999996,127.14661399999999,거여동
459,관악현대(아)경로당,37.49226627,126.9584733,봉천동
460,우성1차아파트경로당,37.4922669,126.9116071,신대방동
461,우성7차(아)경로당,37.49229301,127.0783271,일원동
462,가든빌라 경로당,37.49233238,126.8310206,오류동
463,웃마을,37.49241154,127.15404309999998,마천동
464,역삼중앙경로당,37.49249614,127.03879520000001,역삼동
465,구립대림3동경로당,37.49250872,126.90200630000001,대림동
466,구립행복경로당,37.49250872,126.90200630000001,대림동
