전철역코드,전철역명,전철명명(영문),호선,외부코드,검색키워드,주소,위도,경도,환승역
0244,용답역,Yongdap,2호선,211-1,용답역 2호선,서울 성동구 용답길 86,37.5620049052662,127.050729309179,0
0249,신정네거리역,Sinjeongnegeori,2호선,234-3,신정네거리역 2호선,서울 양천구 중앙로 지하 261,37.5197975266787,126.852991645059,0
0310,구파발역,Gupabal,3호선,320,구파발역 3호선,서울 은평구 진관2로 지하 15-25,37.6368417889316,126.918745426412,0
0311,연신내역,Yeonsinnae,3호선,321,연신내역 3호선,서울 은평구 통일로 지하 849,37.618962003178,126.921162124977,1
0312,불광역,Bulgwang,3호선,322,불광역 3호선,서울 은평구 통일로 지하 723-1,37.6102072578868,126.92998576213,1
0313,녹번역,Nokbeon,3호선,323,녹번역 3호선,서울 은평구 통일로 지하 602-1,37.6007421809861,126.936019442532,0
0314,홍제역,Hongje,3호선,324,홍제역 3호선,서울 서대문구 통일로 지하 440-1,37.5887103667691,126.944242309924,0
0315,무악재역,Muakjae,3호선,325,무악재역 3호선,서울 서대문구 통일로 지하 361,37.5823841472467,126.950322097494,0
0316,독립문역,Dongnimmun,3호선,326,독립문역 3호선,서울 서대문구 통일로 지하 247,37.5744103589329,126.957750279047,0
2637,동묘앞역,Dongmyo,6호선,636,동묘앞역 6호선,서울 종로구 지봉로 지하 24,37.5722005208773,127.015678133819,1
2638,창신역,Changsin,6호선,637,창신역 6호선,서울 종로구 지봉로 지하 112,37.5800168892429,127.015211194258,0
2724,사가정역,Sagajeong,7호선,722,사가정역 7호선,서울 중랑구 사가정로 지하 393,37.5807945533834,127.088439058456,0
2725,용마산역,Yongmasan,7호선,723,용마산역 7호선,서울 중랑구 용마산로 지하 227,37.5740302107904,127.087038114766,0
2726,중곡역,Junggok,7호선,724,중곡역 7호선,서울 광진구 능동로 지하 417,37.5655258842084,127.084072412789,0
2728,어린이대공원역,Children`s  Grand Park,7호선,726,어린이대공원역 7호선,서울 광진구 능동로 지하 210,37.547871203305,127.074549925093,0
0202,을지로입구역,Euljiro 1(il)-ga,2호선,202,을지로입구역 2호선,서울 중구 을지로 지하 42,37.5660509513873,126.982372901787,0
0203,을지로3가역,Euljiro 3(sam)-ga,2호선,203,을지로3가역 2호선,서울 중구 을지로 지하 106,37.56626594615,126.990308356253,1
0204,을지로4가역,Euljiro 4(sa)-ga,2호선,204,을지로4가역 2호선,서울 중구 을지로 지하 178,37.5666369941572,126.997852780281,1
0205,동대문역사문화공원역,Dongdaemun History  Culture Park,2호선,205,동대문역사문화공원역 2호선,서울 중구 을지로 지하 279,37.5655895229776,127.009131498424,1
0206,신당역,Sindang,2호선,206,신당역 2호선,서울 중구 퇴계로 지하 431-1,37.5656540317328,127.019540574485,1
0209,한양대역,Hanyang Univ.,2호선,209,한양대역 2호선,서울 성동구 왕십리로 206,37.55557788354,127.043584493543,0
0210,뚝섬역,Ttukseom,2호선,210,뚝섬역 2호선,서울 성동구 아차산로 18,37.5471882244091,127.047365178682,0
0211,성수역,Seongsu,2호선,211,성수역 2호선,서울 성동구 아차산로 100,37.5445023983984,127.056090471223,0
0212,건대입구역,Konkuk Univ.,2호선,212,건대입구역 2호선,서울 광진구 아차산로 243,37.5404188872176,127.069173281554,1
0213,구의역,Guui,2호선,213,구의역 2호선,서울 광진구 아차산로 384-1,37.5371535596228,127.086179228767,0
0237,당산역,Dangsan,2호선,237,당산역 2호선,서울 영등포구 당산로 229,37.534956866618,126.90273071003,1
0238,합정역,Hapjeong,2호선,238,합정역 2호선,서울 마포구 양화로 지하 55,37.5501152068908,126.914638180431,1
0239,홍대입구역,Hongik Univ.,2호선,239,홍대입구역 2호선,서울 마포구 양화로 지하 160,37.5568904093718,126.923674307594,1
0240,신촌역,Sinchon,2호선,240,신촌역 2호선,서울 마포구 신촌로 지하 90,37.5554417865984,126.936119192554,0
0241,이대역,Ewha Womans Univ.,2호선,241,이대역 2호선,서울 마포구 신촌로 지하 180,37.5567980142044,126.945758201019,0
0242,아현역,Ahyeon,2호선,242,아현역 2호선,서울 마포구 신촌로 지하 270,37.5573575723061,126.95603374504,0
0243,충정로역,Chungjeongno,2호선,243,충정로역 2호선,서울 서대문구 서소문로 지하 17,37.5598377952439,126.964474043785,1
2532,충정로역,Chungjeongno,5호선,531,충정로역 5호선,서울 서대문구 충정로 지하 28-1,37.5609934378336,126.963373255365,1
2739,남성역,Namseong,7호선,737,남성역 7호선,서울 동작구 사당로 지하 218,37.4844433924857,126.971706096071,0
2740,숭실대입구역,Soongsil Univ.,7호선,738,숭실대입구역 7호선,서울 동작구 상도로 지하 378,37.4958143308836,126.954060246067,0
2741,상도역,Sangdo,7호선,739,상도역 7호선,서울 동작구 상도로 지하 272,37.5032080456431,126.947700373641,0
2742,장승배기역,Jangseungbaegi,7호선,740,장승배기역 7호선,서울 동작구 상도로 지하 188,37.5046658024741,126.938744364462,0
2743,신대방삼거리역,Sindaebangsamgeori,7호선,741,신대방삼거리역 7호선,서울 동작구 상도로 지하 76,37.4997218266711,126.928222967016,0
2744,보라매역,Boramae,7호선,742,보라매역 7호선,서울 동작구 상도로 지하 2,37.499910050321,126.920489390309,0
2745,신풍역,Sinpung,7호선,743,신풍역 7호선,서울 영등포구 신풍로 지하 27,37.5001172036762,126.909841656125,0
2746,대림역,Daerim,7호선,744,대림역 7호선,서울 영등포구 도림로 지하 137,37.4927430722225,126.896611839343,1
2747,남구로역,Namguro,7호선,745,남구로역 7호선,서울 구로구 도림로 지하 7,37.4861618372855,126.887341021559,0
2748,가산디지털단지역,Gasan Digital Complex,7호선,746,가산디지털단지역 7호선,서울 금천구 벚꽃로 309,37.4815957375443,126.882559483336,1
2751,천왕역,Cheonwang,7호선,749,천왕역 7호선,서울 구로구 오리로 지하 1154,37.4868219430207,126.838713741162,0
2752,온수역,Onsu,7호선,750,온수역 7호선,서울 구로구 경인로3길 지하 64,37.4921502838112,126.823380714316,1
