사업장명,소재지전체주소
평광교회 GS(Golden Senior) 대학,서울특별시 양천구 목동 909-2번지 평광교회 
신월중앙교회 평생대학,서울특별시 양천구 신월동 
대한교회 노인교실,서울특별시 양천구 신정동 대한교회 
목동중앙 노인교실,서울특별시 양천구 신정동 281-8번지 
소명교회 노인교실,서울특별시 양천구 신월동 493-18번지 
새마음노인교실,서울특별시 양천구 신월동 105-7번지 
늘푸른 실버대학,서울특별시 양천구 신월동 
샘터 노인교실,서울특별시 양천구 목동 222-51번지 
목동교회 노인교실,서울특별시 양천구 목동 315-50번지 
신월동성당노인교실,서울특별시 양천구 신월동 436-1번지 
사랑 노인교실,서울특별시 양천구 신월동 509-8번지 
참살이노인교실,서울특별시 양천구 신월동 164-10번지 
금빛새마을금고 노인교실,서울특별시 양천구 신월동 601-3번지 3층 
실로암 방주교회 노인교실,서울특별시 양천구 신정동 311-11번지 
신정노인교실,서울특별시 양천구 신월동 519-1번지 
반석교회노인교실,서울특별시 양천구 신정동 1147-1번지 
한성교회노인교실,서울특별시 양천구 신정동 758-1번지 
해나리은빛 노인교실,서울특별시 양천구 목동 905-3번지 
열린실버 노인교실,서울특별시 양천구 신월동 56-8번지 
목민대학 노인교실,서울특별시 양천구 신정동 1191-5번지 
산돌교회 노인교실,서울특별시 양천구 목동 927-3번지 
등촌교회 노인교실,서울특별시 양천구 목동 626-19번지 
한성교회 노인교실,서울특별시 양천구 신정동 758-1번지 
목동성당 로사리오 노인교실,서울특별시 양천구 신정동 318번지 
에덴노인교실,서울특별시 양천구 목동 909-9번지 
요셉노인교실,서울특별시 양천구 신정동 975-1번지 
천주교등촌성당 요셉노인교실,서울특별시 양천구 목동 626-15번지 
(사)대한노인회 양천구지회 부설 노인교실,서울특별시 양천구 신정동 296-91번지 
양천노인교실,서울특별시 양천구 목동 610-9번지 
강남교회노인교실,서울특별시 양천구 신월동 103-23번지 
명문노인교실,서울특별시 양천구 신정동 911-7번지 지층호
동아노인교실,서울특별시 양천구 신월동 76-7번지 
번동노인교실,서울특별시 강북구 번동 417-15번지 
삼양교회 소망회,서울특별시 강북구 미아동 791-2143번지 
신성북교회노인교실,서울특별시 강북구 미아동 791-412번지 
백운노인대학,서울특별시 강북구 수유동 543-1번지 
강북성실노인교실,서울특별시 강북구 수유동 221-49번지 
강북성실노인교실,서울특별시 강북구 수유동 221-49번지 
성베드로노인교실,서울특별시 강북구 수유동 233번지 
늘푸른노인교실,서울특별시 강북구 미아동 670통38반 
요한노인교실,서울특별시 강북구 미아동 301-10번지 
제일노인교실,서울특별시 강북구 미아동 258-72번지 
상록노인교실,서울특별시 강북구 미아동 8통8반 
행운동 시니어 아카데미,서울특별시 관악구 봉천동 1682-6번지 
성가정노인교실,서울특별시 관악구 신림동 646-87번지 
삼성산성당 노인교실,서울특별시 관악구 신림동 300-6번지 
남문노인교실,서울특별시 관악구 봉천동 14-7번지 
관악시조노인교실,서울특별시 관악구 봉천동 13-44번지 
서울실버노인교실,서울특별시 관악구 봉천동 291-1번지 
푸른노인교실,서울특별시 관악구 봉천동 213-10번지 
선한이웃효도노인교실,서울특별시 관악구 신림동 481-7번지 
신도노인교실,서울특별시 관악구 신림동 1577-3번지 
하상노인교실,서울특별시 관악구 봉천동 1564-10번지 
은천노인교실,서울특별시 관악구 신림동 1417번지 
천주교 중앙 노인교실,서울특별시 관악구 봉천동 
반석노인교실,서울특별시 관악구 봉천동 1565-3번지 
인애노인교실,서울특별시 관악구 신림동 706-112번지 
남문노인교실,서울특별시 관악구 봉천동 14-7번지 
일화계노인건강교실,서울특별시 관악구 신림동 1433번지 
구암노인교실,서울특별시 관악구 봉천동 478-11번지 
천주교신림동교회 노인교실,서울특별시 관악구 신림동 92-32번지 
묵동성당 노인교실,서울특별시 중랑구 묵동 239-127번지 
대한노인회중랑구지회 노인교실,서울특별시 중랑구 중화동 321-37번지 
공항동 성당 시니어아카데미,서울특별시 강서구 공항동 
천주교 여의도성당 너섬시니어아카데미,서울특별시 영등포구 여의도동 
행복대학,서울특별시 강남구 논현동 
대치3성당 성모탄신,서울특별시 강남구 도곡동 양재동성당 
충성은빛대학 노인교실,서울특별시 강남구 개포동 12-4번지 
개포노인교실(개포성당),서울특별시 강남구 개포동 157-1번지 
대치동교회은빛노인교실,서울특별시 강남구 대치동 961-9번지 
삼성동성당 노인교실,서울특별시 강남구 삼성동 45-2번지 
역삼성당 경환시니어아카데미,서울특별시 강남구 역삼동 역삼성당 
요셉노인교실,서울특별시 강남구 개포동 
소망회 노인교실,서울특별시 강남구 세곡동 313번지 
양재동성당 시니어아카데미 노인대학,서울특별시 강남구 도곡동 951-4번지 
명화노인교실,서울특별시 강남구 수서동 707번지 
목련시니어스쿨,서울특별시 강남구 개포동 14-2번지 
(사)대한노인회 강남구지회부설노인교회,서울특별시 강남구 청담동 40-33번지 
영문노인교실,서울특별시 강남구 대치동 980-9번지 
청운에녹노인교실,서울특별시 강남구 역삼동 779-10번지 
