,행정동,경로당수,사회복지시설수,노인교실수,노인인구비율,새벽생활인구,아침생활인구,낮생활인구,저녁생활인구,밤생활인구
86,방배동,29.0,1.0,5.0,0.16419999999999998,704.20933554,720.17250744,706.5847490799999,709.50547652,712.21589704
87,방이동,7.0,0.0,1.0,0.1313,693.3304347000001,684.7826457,696.7643739,704.4085556499999,689.6923103500001
88,방학동,31.0,1.0,1.0,0.19466666666666668,901.9718305249999,847.0830404999999,789.2945969750001,854.8768474249999,890.565888525
89,방화동,45.0,0.0,7.0,0.18869999999999998,816.4988297999998,808.2588273,774.6855682,769.9895475000001,784.7430569
90,번동,29.0,0.0,1.0,0.23126666666666665,673.5018218,617.4745007666667,554.2360982333333,591.7833517666667,640.8281610666667
91,보광동,11.0,0.0,0.0,0.182,367.1951644,343.205428,300.81143480000003,318.85704649999997,350.95330839999997
92,보문동,6.0,1.0,0.0,0.1511,528.9880446000001,504.61131960000006,452.144885,464.1615388999999,502.4067896000001
93,본동,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,봉천동,47.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
95,부암동,1.0,0.0,0.0,0.1751,532.3792664,533.0976992999999,486.8078703,503.1386032,538.718108
96,북가좌동,18.0,1.0,0.0,0.1753,847.56069925,793.8037255,711.8150674999999,811.41650665,858.4878412
97,북아현동,9.0,0.0,3.0,0.1341,871.1291941,881.9124509,856.3013667000001,772.2298486000001,854.1475572
98,불광동,18.0,1.0,5.0,0.20055,1119.80857855,1036.4082778000002,973.6353653000001,1081.07422645,1123.63239545
99,사근동,5.0,1.0,0.0,0.1128,355.8873939,421.0755278,489.282197,425.62811960000005,379.5974889
100,사당동,26.0,1.0,3.0,0.17228,718.81311274,689.0965497,642.81278198,697.42877804,713.77224532
101,삼선동,7.0,1.0,0.0,0.1634,616.1421622,618.7298622000001,658.4342019999999,692.0960639,654.2642852000001
102,삼성동,22.0,1.0,1.0,0.17006666666666667,730.1623740333334,792.1515887333334,901.1587833333333,786.4919795000001,736.2017655333333
103,삼전동,2.0,1.0,3.0,0.126,900.2064554,842.3855275000001,722.9795598,765.3498268,841.8691789999999
104,삼청동,1.0,0.0,0.0,0.2287,149.67343069999998,161.26756899999998,189.68051599999998,144.0242178,134.390057
105,상계동,74.0,1.0,8.0,0.166925,917.085754125,886.9076419999999,854.9571159375,907.8935265125,920.1505359125001
106,상도동,36.0,1.0,5.0,0.1615,946.8725005499999,880.71555965,763.533700475,851.6204146749999,926.527735325
107,상봉동,12.0,0.0,0.0,0.14745,639.2079057000001,639.90616795,680.45629775,716.7551424,674.1831539
108,상수동,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,상암동,6.0,0.0,1.0,0.1228,814.6533755,951.4141667000001,1026.34645,924.7606806,843.1420429
110,상왕십리동,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
111,상월곡동,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,상일동,9.0,0.0,0.0,0.1072,1203.1965910000001,1184.2187199999998,1091.453622,1123.456901,1179.776898
113,서계동,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,서교동,3.0,0.0,3.0,0.1257,818.4123955,953.2006405,1276.03278,1178.845493,966.1759071
115,서빙고동,4.0,0.0,0.0,0.1512,441.83698169999997,512.9824018,564.2618223999999,532.1575735,473.79694630000006
116,서소문동,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,서초동,29.0,1.0,5.0,0.13385,831.9290882749999,975.831946075,1214.6640911250001,1023.066700375,869.539831975
118,석관동,8.0,1.0,0.0,0.1923,1100.05914,1050.533578,997.9563724,1087.650632,1098.28379
119,석촌동,3.0,0.0,0.0,0.1361,1039.113697,989.9823359,926.2726803999999,959.6269868999999,1000.098914
