,Unnamed: 0,FACI_NM,FACI_GB_CD,FACI_GB_NM,FCOB_CD,FCOB_NM,FTYPE_CD,FTYPE_NM,FACI_STAT,FACI_ROAD_POST,FACI_ROAD_ADDR1,FACI_ROAD_ADDR2,FACI_POST,FACI_ADDR1,FACI_ADDR2,FACI_POINT_X,FACI_POINT_Y,서울유무
14702,71132,홍제게이트볼장,P,공공,P10,전천후게이트볼장,P1001,전천후게이트볼장,정상운영,,서울 서대문구 홍제동 278-14,,120090.0,서울 서대문구 홍제동 278-14,,126.9477861,37.59471836,서울
14703,71133,홍제배드민턴장,P,공공,P22,기타시설,P2201,기타시설,정상운영,,서울 서대문구 홍제동 280-9,,120090.0,서울 서대문구 홍제동 280-9,홍제배드민턴장,126.949353,37.59501817,서울
14766,71262,효봉어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 금천구 시흥4동,,126.910503,37.460708000000004,서울
14768,71269,효성어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 노원구 공릉2동,,127.087741,37.621349,서울
14770,71275,효자어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 도봉구 창4동,,127.050959,37.649985,서울
14773,71316,휴암어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 마포구 상암동 14-5,,126.89569640000002,37.57711447,서울
14777,71321,흑석동주민센터,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 동작구 흑석동,,126.966591,37.505779,서울
14782,71327,흥산배드민턴장,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 금천구 시흥5동,,126.909256,37.444552,서울
14797,71376,현석동마을마당,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 마포구 현석동 164-1(신수동),,126.93361979999999,37.54211473,서울
14865,71480,다락원체육공원 축구장,P,공공,P02,축구장,P0201,축구장,정상운영,1318.0,서울특별시 도봉구 창포원로 45 (도봉동),,1318.0,서울특별시 도봉구 도봉동 8 다락원 체육공원,,127.0468078,37.69170616,서울
14997,71703,노량진근린공원 테니스장,P,공공,P06,테니스장,P0601,테니스장,정상운영,156808.0,대방동 23-189,,156808.0,서울 동작구 대방동 23-189,,126.92726609999998,37.50843874,서울
14998,71705,다락원체육공원 테니스장,P,공공,P06,테니스장,P0601,테니스장,정상운영,1318.0,서울특별시 도봉구 창포원로 45 (도봉동),,1318.0,서울특별시 도봉구 도봉동 8 다락원 체육공원,,127.0468078,37.69170616,서울
15081,71852,다락원체육공원 게이트볼장,P,공공,P10,전천후게이트볼장,P1001,전천후게이트볼장,정상운영,1318.0,서울특별시 도봉구 창포원로 45 (도봉동),,1318.0,서울특별시 도봉구 도봉동 8 다락원 체육공원,,127.0468078,37.69170616,서울
15138,71950,다락원체육공원 실내체육관(테니스장),P,공공,P06,테니스장,P0601,테니스장,정상운영,1318.0,서울특별시 도봉구 창포원로 45 (도봉동),,1318.0,서울특별시 도봉구 도봉동 8 다락원 체육공원,,127.0468078,37.69170616,서울
