행정동코드,행정동명,시간대구분,총생활인구수평균,60-64세,65세-69세,70세이상,노인(65세이상)생활인구수
11320681,쌍문4동,아침,14816.06839,578.8129858,390.3865249,572.9903834,963.3769083
11320681,쌍문4동,낮,12668.68115,444.9115506,331.7987255,503.9347876,835.7335131
11320681,쌍문4동,저녁,13045.67787,517.71381,378.489177,541.7221004,920.2112774
11320681,쌍문4동,밤,14543.34383,607.1115847,409.9040476,564.6273009,974.5313485
11320690,방학1동,새벽,23611.1771,913.8256568,732.7075171,1126.001838,1858.709355
11320690,방학1동,아침,23316.06118,886.9233767,716.2429183,1096.427412,1812.67033
11320690,방학1동,낮,24816.64557,970.4719017,763.5302492,1127.322085,1890.852334
11320690,방학1동,저녁,26677.64948,1067.951517,819.9888377,1215.781549,2035.770387
11320690,방학1동,밤,25264.16247,992.8801271,771.2751172,1166.590498,1937.865615
11320700,방학2동,새벽,13973.3089,558.092473,446.1084815,690.3729305,1136.481412
11320700,방학2동,아침,13110.1069,517.1331848,408.7920932,650.9005747,1059.692668
11320700,방학2동,낮,11734.50604,480.8853202,379.5303381,595.4240417,974.9543798
11320700,방학2동,저녁,12725.70112,537.1109114,439.1791229,673.4363726,1112.615496
11320700,방학2동,밤,13661.07626,557.3753066,453.7154175,691.0861767,1144.801594
11320710,방학3동,새벽,25805.52068,1071.565567,788.8956943,1129.380025,1918.275719
11320710,방학3동,아침,23553.55438,947.8687641,711.7473452,1046.018921,1757.766266
11320710,방학3동,낮,18522.3003,732.7871872,565.6177584,887.133543,1452.751301
11320710,방학3동,저녁,19027.46404,787.1195801,613.4824433,935.5076169,1548.99006
11320710,방학3동,밤,23157.76816,965.2700662,721.77515,1056.593022,1778.368172
11320511,창1동,새벽,23126.49503,873.0084938,612.4630766,909.9520934,1522.41517
11320511,창1동,아침,22556.07997,840.5772627,600.546206,914.1461199,1514.692326
11320511,창1동,낮,20634.52181,753.4852297,559.8281773,903.5457598,1463.373937
11320511,창1동,저녁,21742.96364,839.7523711,604.0168599,960.497343,1564.514203
11320511,창1동,밤,22930.06308,882.6711338,615.3540657,939.5597201,1554.913786
11320512,창2동,새벽,33077.46874,1190.502658,851.3278198,1308.214719,2159.542539
11320512,창2동,아침,30604.77351,1083.930542,775.9517535,1210.873978,1986.825731
11320512,창2동,낮,25289.2212,924.7075001,668.8385934,1064.560379,1733.398972
11320512,창2동,저녁,27705.58569,1045.622585,761.0853624,1191.968118,1953.05348
11320512,창2동,밤,31426.18549,1150.613352,830.8854814,1288.63291,2119.518391
11320513,창3동,새벽,14467.00977,529.6240373,363.6198021,587.9020158,951.5218179
11320513,창3동,아침,13285.53158,472.8527865,335.1152616,540.9003393,876.0156009
11320513,창3동,낮,11243.18991,427.4361307,298.1177586,483.8718546,781.9896132
11320513,창3동,저녁,11954.23077,475.874148,325.8435795,529.4207574,855.2643369
11320513,창3동,밤,13652.99719,517.7425654,352.3593803,569.750407,922.1097873
11320514,창4동,새벽,31481.34719,1078.42244,747.8909556,1128.7849,1876.675856
11320514,창4동,아침,33192.63088,1155.053264,815.2153262,1248.781456,2063.996782
11320514,창4동,낮,30377.55193,1118.79406,850.5783162,1366.573684,2217.152
11320514,창4동,저녁,30326.08759,1114.75849,834.2436785,1298.947055,2133.190734
11320514,창4동,밤,32029.59495,1118.797589,809.0830227,1235.719948,2044.802971
11320515,창5동,새벽,19896.82172,782.5884796,549.8140404,759.9781787,1309.792219
11320515,창5동,아침,20037.34652,779.7339221,556.4143541,775.0104204,1331.424775
11320515,창5동,낮,20563.26199,782.7329995,589.9294639,856.6472733,1446.576737
11320515,창5동,저녁,23183.40735,870.8027147,636.8615684,918.699347,1555.560915
11320515,창5동,밤,22042.73969,840.6255693,599.503255,845.0965133,1444.599768
11320521,도봉1동,새벽,17700.72424,734.2449123,628.1959051,1029.948037,1658.143942
11320521,도봉1동,아침,17943.56367,734.2349653,621.5687178,1034.354268,1655.922986
11320521,도봉1동,낮,18321.54794,860.6946523,718.2246176,1228.683584,1946.908202
11320521,도봉1동,저녁,17316.17778,782.2789065,647.2359492,1068.359109,1715.595058
11320521,도봉1동,밤,17124.87812,730.1124731,616.5058944,1007.62283,1624.128724
11320522,도봉2동,새벽,20561.75317,893.223251,712.7109621,1041.127532,1753.838494
11320522,도봉2동,아침,20690.64952,870.9961639,682.6899058,1022.313735,1705.003641
11320522,도봉2동,낮,18838.58104,788.9121043,623.5610482,993.2336396,1616.794688
11320522,도봉2동,저녁,20031.69625,862.8241847,677.7634835,1040.110953,1717.874436
11320522,도봉2동,밤,21144.74643,897.7986682,712.7184322,1065.290467,1778.008899
11350560,월계1동,새벽,27178.77299,871.4262338,683.6484668,1007.764646,1691.413113
11350560,월계1동,아침,26001.99887,826.1182588,658.8785029,961.5511691,1620.429672
11350560,월계1동,낮,23691.95015,763.8486614,606.0524083,899.0991976,1505.151606
11350560,월계1동,저녁,25188.87062,849.1367361,676.0377715,996.9757761,1673.013548
11350560,월계1동,밤,26884.75258,876.8094842,697.2722598,1026.553002,1723.825262
11350570,월계2동,새벽,23350.73144,841.8111966,721.6493755,1090.436,1812.085376
11350570,월계2동,아침,22285.28976,774.4201522,673.2775428,1025.962374,1699.239917
11350570,월계2동,낮,18662.45348,606.3983856,541.010837,861.1067259,1402.117563
11350570,월계2동,저녁,18663.29197,661.1075463,588.7348392,932.3305557,1521.065395
11350570,월계2동,밤,21584.19352,780.6281882,673.4876344,1034.091983,1707.579617
11350580,월계3동,새벽,30485.03752,1125.752477,828.0820784,1292.10753,2120.189608
11350580,월계3동,아침,28935.43823,1036.71533,785.7575028,1211.014234,1996.771737
11350580,월계3동,낮,24302.06562,855.0773236,678.6766218,1055.651751,1734.328373
11350580,월계3동,저녁,25347.52354,922.6768463,717.7606318,1102.781764,1820.542396
11350580,월계3동,밤,27931.19223,1018.274748,770.6983825,1186.09909,1956.797473
11350600,공릉2동,새벽,44753.74026,1300.857059,884.3377738,1326.863684,2211.201458
11350600,공릉2동,아침,44655.20212,1295.240713,887.3053168,1310.902039,2198.207356
11350600,공릉2동,낮,41738.5747,1179.537675,821.1620514,1206.552281,2027.714332
11350600,공릉2동,저녁,40324.60616,1179.229826,811.090352,1219.520658,2030.61101
11350600,공릉2동,밤,43150.55231,1255.235402,851.5785037,1284.038976,2135.61748
11350611,하계1동,새벽,29339.76234,1050.498185,724.6791678,929.8353406,1654.514508
11350611,하계1동,아침,28693.17213,983.3594212,718.2916933,936.4388898,1654.730583
11350611,하계1동,낮,25696.61084,818.0794869,648.5333663,866.5506287,1515.083995
11350611,하계1동,저녁,24177.71609,837.946419,631.9908257,852.2003012,1484.191127
11350611,하계1동,밤,27443.06205,976.9074037,697.5426257,915.0317757,1612.574401
11350612,하계2동,새벽,18923.1346,590.3432463,427.735648,591.2792702,1019.014918
11350612,하계2동,아침,18157.83821,572.2379533,411.1297993,582.5693352,993.6991345
11350612,하계2동,낮,15436.82771,518.171362,379.5240836,544.1555175,923.6796011
11350612,하계2동,저녁,16586.54114,578.1956741,424.0841932,592.4851311,1016.569324
11350612,하계2동,밤,18372.47568,602.721316,437.5203066,596.361298,1033.881605
11350619,중계본동,새벽,24477.45447,595.1670323,366.6721999,532.3615845,899.0337844
11350619,중계본동,아침,23281.36925,549.0585305,349.8764544,521.8847151,871.7611695
11350619,중계본동,낮,21777.80223,483.4189793,328.7426065,484.0963308,812.8389373
11350619,중계본동,저녁,24115.9141,505.1770389,332.2033744,490.6392327,822.8426071
11350619,중계본동,밤,24042.46378,554.4140904,350.2249829,511.6351858,861.8601687
11350621,중계1동,새벽,29744.35326,697.3690615,469.4634382,651.578897,1121.042335
11350621,중계1동,아침,27150.45616,642.6740981,450.8851938,627.5238862,1078.40908
11350621,중계1동,낮,22314.28944,503.7644645,384.7210959,537.1398055,921.8609014
11350621,중계1동,저녁,25082.63038,519.3881183,376.0611336,527.5079734,903.569107
11350621,중계1동,밤,28155.29991,625.0692725,434.9001548,605.4640767,1040.364232
11350624,중계4동,새벽,21523.13637,686.1871116,551.214485,852.5353972,1403.749882
11350624,중계4동,아침,20169.23562,622.5949409,500.5896677,791.0584831,1291.648151
11350624,중계4동,낮,17924.14812,541.2569642,447.7397089,722.4828611,1170.22257
11350624,중계4동,저녁,18601.76133,612.4815824,481.0046878,758.0116289,1239.016317
11350624,중계4동,밤,20697.61957,677.3492517,528.112378,817.7514876,1345.863866
11350630,상계1동,새벽,43717.20781,1803.796373,1294.340932,1816.18796,3110.528892
11350630,상계1동,아침,41449.1409,1666.915152,1192.21389,1724.710337,2916.924227
11350630,상계1동,낮,37068.66927,1471.651974,1098.054187,1652.609355,2750.663542
11350630,상계1동,저녁,40336.26785,1687.236007,1231.796215,1785.178403,3016.974618
11350630,상계1동,밤,43146.30257,1785.860433,1286.840894,1813.777836,3100.61873
11350640,상계2동,새벽,27004.57718,985.2835217,720.3457448,1008.260849,1728.606594
11350640,상계2동,아침,26630.18163,971.4952048,718.5236049,1016.761356,1735.284961
11350640,상계2동,낮,29658.76147,1036.930491,779.0530076,1081.068638,1860.121646
11350640,상계2동,저녁,33855.29281,1120.318862,828.7754407,1124.043069,1952.81851
11350640,상계2동,밤,29505.08052,1029.803969,763.2304144,1040.131431,1803.361845
11350670,상계5동,새벽,23538.44434,870.8983733,663.9792392,999.8496283,1663.828868
11350670,상계5동,아침,22305.66226,812.8661384,630.5213597,924.6614414,1555.182801
11350670,상계5동,낮,20135.05386,768.93336,607.0188535,903.9813214,1511.000175
11350670,상계5동,저녁,22416.01222,887.319872,680.8804855,1012.956035,1693.83652
11350670,상계5동,밤,23645.77013,899.6474227,679.5478586,1022.902994,1702.450853
11350700,상계8동,새벽,21513.35581,603.8704155,482.8180607,651.0790217,1133.897082
11350700,상계8동,아침,19670.74348,558.0562157,448.9448702,609.2233098,1058.16818
11350700,상계8동,낮,15036.33703,441.9798389,358.5804801,509.8941775,868.4746576
11350700,상계8동,저녁,15630.00836,472.7308973,374.4138395,510.9436199,885.3574594
11350700,상계8동,밤,19230.36703,552.883562,437.004234,587.5616114,1024.565845
11350710,상계9동,새벽,20241.89713,751.3981169,525.889458,680.1685704,1206.058028
11350710,상계9동,아침,18792.8756,661.9440627,478.4645083,642.9277226,1121.392231
11350710,상계9동,낮,15077.0352,511.6471394,384.541731,550.9103778,935.4521088
