자치구,분류,시설명,주소,위도,경도,전화번호,비고,홈페이지,강습여부,실내/실외,주차장
마포구,수영장,마포청소년수련관 수영장,마포구 성산동 월드컵로 212,37.566606,126.901833,3153-5900,,http://www.youthnaroo.or.kr/,유,실내,
마포구,배드민턴장,와우산 배드민턴장,와우산로 30길 81,37.551405,126.928655,3153-8131,9면,www.mfmc.or.kr,무,실내,주차 불가
마포구,배드민턴장,망원동 배드민턴장,동교로1길 73,37.5535839,126.8997121,3153-8131,5면,https://www.mapo.go.kr/,무,실내,-
마포구,골프연습장,마포주민편익시설 골프연습장,마포구 월드컵로 25길 190,37.557815,126.9041813,374-0400,410.96㎡,http://www.mfmc.or.kr,유,실내,주차 가능(30면)
마포구,골프연습장,마포아트센터 골프연습장,마포구 대흥로 20길 28,37.549821,126.94552,3274-8500,345㎡,http://www.mapoartcenter.or.kr/,유,실내,기본 30분 1000원 초과 10분당 500원
동작구,생활체육관,흑석체육센터,동작구 동작구 현충로 73,37.5100062,126.9634626,823-2273,,http://www.idongjak.or.kr/,유,실내,회원 3시간 무료 초과시 5분당 250원(36면)
동작구,생활체육관,동작구민체육센터,동작구 여의대방로 16길 53,37.4946758,126.9167539,849-0100,,http://www.idongjak.or.kr/,유,실내,강습시간 30분 전후까지만 이용 가능 회원 최대 3시간 무료 초과시 10분당 500원(87면)
동작구,생활체육관,사당문화회관,동작구 사당로8길9,37.4846829,126.9695996,588-4111,,http://www.idongjak.or.kr/,유,실내,강습시간 30분 전후까지만 이용 가능 회원 최대 3시간 무료 초과시 10분당 500원
동작구,생활체육관,사당종합체육관,동작구 사당로27길 232,37.4875595,126.9751922,595-5556,,http://www.idongjak.or.kr/,유,실내,회원 3시간 무료 초과시 5분당 250원(60면)
동작구,생활체육관,서울여성플라자 스포츠센터,동작구 여의대방로 54길 18,37.5115519,126.9271787,822-2426,,http://www.womansports.co.kr/,유,실내,회원 3시간 무료
동작구,수영장,사당문화회관 수영장,동작구 사당로8길9,37.4846829,126.9695996,588-4111,,http://www.idongjak.or.kr/,유,실내,강습시간 30분 전후까지만 이용 가능 회원 최대 3시간 무료 초과시 10분당 500원
동작구,수영장,서울여성플라자 수영장,동작구 여의대방로 54길 18,37.5115519,126.9271787,822-2426,6개 레인 ,http://www.womansports.co.kr/,유,실내,회원 3시간 무료
동작구,수영장,흑석체육센터 수영장,동작구 동작구 현충로 73,37.5100062,126.9634626,823-2273,5레인,http://www.idongjak.or.kr/,유,실내,회원 3시간 무료 초과시 5분당 250원(36면)
동작구,수영장,동작구민체육센터 수영장,동작구 여의대방로 16길 53,37.4946758,126.9167539,849-0100,,http://www.idongjak.or.kr/,유,실내,강습시간 30분 전후까지만 이용 가능 회원 최대 3시간 무료 초과시 10분당 500원(87면)
동작구,골프연습장,동작구민체육센터 골프연습장,동작구 여의대방로 16길 53,37.4946758,126.9167539,849-0100,,http://www.idongjak.or.kr/,유,실내,강습시간 30분 전후까지만 이용 가능 회원 최대 3시간 무료 초과시 10분당 500원(87면)
동대문구,생활체육관,이문체육문화센터,동대문구 한천로58길 81-49,37.6022252,127.0686956,963-0534,3295㎡,http://www.dfmc.kr,유,실내,무료
동대문구,구기체육관,동대문구체육관,동대문구 답십리로 210-3,37.5722643,127.0639667,2247-9611,5743㎡,http://www.dfmc.kr,유,실내,주차 가능(56면)
동대문구,생활체육관,동대문구민체육센터,동대문구 장안벚꽃로 67,37.5668194,127.0739112,2247-9772,5157㎡,http://www.dfmc.kr,유,실내,주차 가능
동대문구,생활체육관,동대문종합사회복지관,동대문구 약령시로 5길 22,37.5839428,127.0342231,920-4500,,http://www.communitycenter.or.kr/,유,실내,주차 가능
동대문구,수영장,동대문구민체육센터 수영장,동대문구 장안벚꽃로 67,37.5668194,127.0739112,2247-9772,,http://www.dfmc.kr,유,실내,주차 가능
동대문구,수영장,동대문청소년수련관 수영장,동대문구 제기로 33길 25   ,37.5872685,127.0499878,3295-1478,,http://www.ddmy.or.kr/,유,실내,주차 불가
동대문구,수영장,동대문종합사회복지관 수영장,동대문구 약령시로 5길 22,37.5839428,127.0342231,920-4500,,http://www.communitycenter.or.kr/,유,실내,주차 가능
동대문구,생활체육관,동대문청소년수련관,동대문구 제기로 33길 25   ,37.5872685,127.0499878,3295-1478,,http://www.ddmy.or.kr/,유,실내,주차 불가
도봉구,생활체육관,창동문화체육센터,도봉구 노해로69길 132,37.6582713,127.0506149,901-5000,,http://www.dobongsiseol.or.kr/index_sport.html,유,실내,비회원 10분당 500원 / 회원 3시간 무료
도봉구,테니스장,창동 생활체육실내테니스장,도봉구 창동 1-24,37.657144,127.051776,2289-6870,3면,http://gongdan.nowon.kr/culturebusiness/wolgae/info.html,유,실내,주차 가능
도봉구,구기체육관,도봉실내배드민턴장,도봉구 도봉2동 84-6 ,37.6814387,127.0503481,901-5180,7면,https://www.dobongsiseol.or.kr/,유,실내,주차 가능
도봉구,구기체육관,초안산실내배드민턴장,도봉구 덕릉로 63길 76-10,37.6447498,127.0409457,901-5125,6면,https://www.dobongsiseol.or.kr/,유,실내,주차 가능(11면)
도봉구,구기체육관,창동배드민턴장,도봉구 노해로 69길 132 ,37.656112,127.051245,901-5049,,https://www.dobongsiseol.or.kr/,유,실내,주차 가능
도봉구,수영장,도봉실내수영장,도봉구 도봉로 180 나길41,37.6857879,127.0479503,901-5170,935.19㎡,https://www.dobongsiseol.or.kr/,유,실내,주차 가능
도봉구,수영장,창동문화체육센터 수영장,도봉구 노해로69길 132,37.6582713,127.0506149,901-5000,1383㎡,http://www.dobongsiseol.or.kr/index_sport.html,유,실내,비회원 10분당 500원 / 회원 3시간 무료
