행정동코드,행정동,경로당수,복지시설수,총노인시설수,읍면동명칭,읍면동코드,,
1111056,공릉2동,21,1,22,공릉2동,1111056,TRUE,TRUE
1111058,하계1동,11,1,12,하계1동,1111058,TRUE,TRUE
1111059,하계2동,4,0,4,하계2동,1111059,TRUE,TRUE
1111060,중계본동,14,0,14,중계본동,1111060,TRUE,TRUE
1111061,중계1동,13,0,13,중계1동,1111061,TRUE,TRUE
1111064,중계4동,10,0,10,중계4동,1111064,TRUE,TRUE
1111065,상계1동,21,0,21,상계1동,1111065,TRUE,TRUE
1111066,상계2동,11,1,12,상계2동,1111066,TRUE,TRUE
1111069,상계5동,6,0,6,상계5동,1111069,TRUE,TRUE
1111072,상계8동,4,0,4,상계8동,1111072,TRUE,TRUE
1111073,상계9동,4,0,4,상계9동,1111073,TRUE,TRUE
1111074,상계10동,6,0,6,상계10동,1111074,TRUE,TRUE
1111076,상계3.4동,13,0,13,상계3.4동,1111076,TRUE,TRUE
1111077,상계6.7동,9,0,9,상계6.7동,1111077,TRUE,TRUE
1111078,중계2.3동,10,0,10,중계2.3동,1111078,TRUE,TRUE
1111075,공릉1.3동,19,0,19,공릉1동,1111079,FALSE,FALSE
1112051,녹번동,10,0,10,녹번동,1112051,TRUE,TRUE
1112052,불광1동,12,1,13,불광1동,1112052,TRUE,TRUE
1112055,갈현1동,4,1,5,갈현1동,1112055,TRUE,TRUE
1112056,갈현2동,7,0,7,갈현2동,1112056,TRUE,TRUE
1112057,구산동,5,0,5,구산동,1112057,TRUE,TRUE
1112058,대조동,4,1,5,대조동,1112058,TRUE,TRUE
1112059,응암1동,4,0,4,응암1동,1112059,TRUE,TRUE
1112060,응암2동,4,0,4,응암2동,1112060,TRUE,TRUE
1112065,신사1동,9,0,9,신사1동,1112065,TRUE,TRUE
1112066,신사2동,8,1,9,신사2동,1112066,TRUE,TRUE
1112067,증산동,6,0,6,증산동,1112067,TRUE,TRUE
1112068,수색동,8,0,8,수색동,1112068,TRUE,TRUE
1112071,진관동,31,1,32,진관동,1112071,TRUE,TRUE
1112072,불광2동,6,0,6,불광2동,1112072,TRUE,TRUE
1112073,응암3동,3,1,4,응암3동,1112073,TRUE,TRUE
1112074,역촌동,2,1,3,역촌동,1112074,TRUE,TRUE
1113052,천연동,12,1,13,천연동,1113052,TRUE,TRUE
1113062,홍제1동,5,0,5,홍제1동,1113062,TRUE,TRUE
1113064,홍제3동,2,0,2,홍제3동,1113064,TRUE,TRUE
1113065,홍제2동,20,1,21,홍제2동,1113065,TRUE,TRUE
1113066,홍은1동,5,0,5,홍은1동,1113066,TRUE,TRUE
1113068,홍은2동,13,0,13,홍은2동,1113068,TRUE,TRUE
1113069,남가좌1동,1,0,1,남가좌1동,1113069,TRUE,TRUE
1113070,남가좌2동,12,0,12,남가좌2동,1113070,TRUE,TRUE
1113071,북가좌1동,4,0,4,북가좌1동,1113071,TRUE,TRUE
1113072,북가좌2동,14,1,15,북가좌2동,1113072,TRUE,TRUE
1113073,충현동,6,0,6,충현동,1113073,TRUE,TRUE
1113074,북아현동,5,0,5,북아현동,1113074,TRUE,TRUE
1113075,신촌동,4,0,4,신촌동,1113075,TRUE,TRUE
1113076,연희동,10,1,11,연희동,1113076,TRUE,TRUE
1114059,용강동,7,1,8,용강동,1114059,TRUE,TRUE
1114060,대흥동,7,1,8,대흥동,1114060,TRUE,TRUE
1114061,염리동,8,0,8,염리동,1114061,TRUE,TRUE
1114063,신수동,11,0,11,신수동,1114063,TRUE,TRUE
1114066,서교동,5,0,5,서교동,1114066,TRUE,TRUE
1114068,합정동,3,0,3,합정동,1114068,TRUE,TRUE
1114069,망원1동,5,0,5,망원1동,1114069,TRUE,TRUE
1114070,망원2동,4,0,4,망원2동,1114070,TRUE,TRUE
1114071,연남동,5,0,5,연남동,1114071,TRUE,TRUE
1114072,성산1동,5,0,5,성산1동,1114072,TRUE,TRUE
1114073,성산2동,18,0,18,성산2동,1114073,TRUE,TRUE
1114074,상암동,6,0,6,상암동,1114074,TRUE,TRUE
1114075,도화동,11,0,11,도화동,1114075,TRUE,TRUE
1114076,서강동,8,1,9,서강동,1114076,TRUE,TRUE
1114077,공덕동,14,1,15,공덕동,1114077,TRUE,TRUE
1114078,아현동,13,0,13,아현동,1114078,TRUE,TRUE
1115051,목1동,17,0,17,목1동,1115051,TRUE,TRUE
1115052,목2동,10,0,10,목2동,1115052,TRUE,TRUE
1115053,목3동,5,0,5,목3동,1115053,TRUE,TRUE
1115054,목4동,6,1,7,목4동,1115054,TRUE,TRUE
1115057,신월1동,11,0,11,신월1동,1115057,TRUE,TRUE
1115058,신월2동,8,1,9,신월2동,1115058,TRUE,TRUE
1115059,신월3동,3,1,4,신월3동,1115059,TRUE,TRUE
1115060,신월4동,10,0,10,신월4동,1115060,TRUE,TRUE
1115061,신월5동,2,0,2,신월5동,1115061,TRUE,TRUE
1115062,신월6동,5,0,5,신월6동,1115062,TRUE,TRUE
1115063,신월7동,7,0,7,신월7동,1115063,TRUE,TRUE
1115064,신정1동,18,0,18,신정1동,1115064,TRUE,TRUE
1115065,신정2동,12,0,12,신정2동,1115065,TRUE,TRUE
1115066,신정3동,19,0,19,신정3동,1115066,TRUE,TRUE
1115069,신정6동,3,0,3,신정6동,1115069,TRUE,TRUE
1115070,신정7동,9,1,10,신정7동,1115070,TRUE,TRUE
1115071,목5동,5,0,5,목5동,1115071,TRUE,TRUE
1115072,신정4동,4,0,4,신정4동,1115072,TRUE,TRUE
1116051,염창동,34,0,34,염창동,1116051,TRUE,TRUE
1116052,등촌1동,12,0,12,등촌1동,1116052,TRUE,TRUE
